date	results	slot 1	slot 2	slot 3	slot 4	slot 5	slot 6	sorted1	sorted2	sorted3	sorted4	sorted5	sorted6
6/22/2022	54-10-17-53-39-06	54	10	17	53	39	6	6	10	17	39	53	54
6/25/2022	22-51-41-31-16-39	22	51	41	31	16	39	16	22	31	39	41	51
6/27/2022	49-01-40-21-20-55	49	1	40	21	20	55	1	20	21	40	49	55
6/29/2022	07-09-51-02-24-39	7	9	51	2	24	39	2	7	9	24	39	51
7/2/2022	13-31-41-35-09-25	13	31	41	35	9	25	9	13	25	31	35	41
7/4/2022	42-06-09-29-33-01	42	6	9	29	33	1	1	6	9	29	33	42
7/6/2022	49-06-26-55-03-14	49	6	26	55	3	14	3	6	14	26	49	55
7/9/2022	02-18-49-07-19-47	2	18	49	7	19	47	2	7	18	19	47	49
7/11/2022	24-30-41-40-52-12	24	30	41	40	52	12	12	24	30	40	41	52
7/13/2022	34-13-06-03-52-26	34	13	6	3	52	26	3	6	13	26	34	52
7/16/2022	28-16-33-13-09-36	28	16	33	13	9	36	9	13	16	28	33	36
7/18/2022	32-48-06-29-08-24	32	48	6	29	8	24	6	8	24	29	32	48
7/20/2022	20-46-14-55-33-10	20	46	14	55	33	10	10	14	20	33	46	55
7/23/2022	41-36-02-33-23-05	41	36	2	33	23	5	2	5	23	33	36	41
7/25/2022	32-45-10-39-20-35	32	45	10	39	20	35	10	20	32	35	39	45
7/27/2022	07-40-27-15-54-22	7	40	27	15	54	22	7	15	22	27	40	54
7/30/2022	19-37-29-33-50-06	19	37	29	33	50	6	6	19	29	33	37	50
8/1/2022	15-12-33-42-51-54	15	12	33	42	51	54	12	15	33	42	51	54
8/3/2022	28-43-49-35-07-51	28	43	49	35	7	51	7	28	35	43	49	51
8/6/2022	21-19-29-16-05-14	21	19	29	16	5	14	5	14	16	19	21	29
8/8/2022	12-30-47-29-42-34	12	30	47	29	42	34	12	29	30	34	42	47
8/10/2022	40-17-19-41-14-20	40	17	19	41	14	20	14	17	19	20	40	41
8/13/2022	36-25-06-23-18-19	36	25	6	23	18	19	6	18	19	23	25	36
8/15/2022	14-22-53-29-12-26	14	22	53	29	12	26	12	14	22	26	29	53
8/17/2022	08-37-42-17-33-23	8	37	42	17	33	23	8	17	23	33	37	42
8/20/2022	24-49-07-47-25-45	24	49	7	47	25	45	7	24	25	45	47	49
8/22/2022	01-40-33-24-30-45	1	40	33	24	30	45	1	24	30	33	40	45
8/24/2022	34-36-03-35-17-04	34	36	3	35	17	4	3	4	17	34	35	36
8/27/2022	41-27-32-34-05-01	41	27	32	34	5	1	1	5	27	32	34	41
8/29/2022	29-19-16-18-09-52	29	19	16	18	9	52	9	16	18	19	29	52
8/31/2022	15-12-16-17-03-09	15	12	16	17	3	9	3	9	12	15	16	17
